crisis_nm,date_month,date_year,glide,url
Yemen: Floods ,Aug,2013,FL-2013-000103-YEM,https://api.reliefweb.int/v1/disasters/13165
Typhoon Utor ,Aug,2013,TC-2013-000092-PHL,https://api.reliefweb.int/v1/disasters/13094
Sudan: Flash Floods ,Aug,2013,FF-2013-000091-SDN,https://api.reliefweb.int/v1/disasters/13066
Pakistan: Floods ,Aug,2013,FF-2013-000090-PAK,https://api.reliefweb.int/v1/disasters/13060
Afghanistan: Flash Floods ,Aug,2013,FF-2013-000088-AFG,https://api.reliefweb.int/v1/disasters/13054
Myanmar: Floods ,Aug,2013,FL-2013-000087-MMR,https://api.reliefweb.int/v1/disasters/13042
DPR Korea: Floods ,Jul,2013,FL-2013-000081-PRK,https://api.reliefweb.int/v1/disasters/13019
China: Earthquake in Gansu Province ,Jul,2013,EQ-2013-000080-CHN,https://api.reliefweb.int/v1/disasters/12997
Georgia: Flash Floods ,Jul,2013,FF-2013-000084-GEO,https://api.reliefweb.int/v1/disasters/13020
Paraguay: Floods ,Jul,2013,FL-2013-000076-PRY,https://api.reliefweb.int/v1/disasters/12931
Indonesia: Earthquake ,Jul,2013,EQ-2013-000073-IDN,https://api.reliefweb.int/v1/disasters/12909
Haiti: Floods ,Jun,2013,FL-2013-000074-HTI,https://api.reliefweb.int/v1/disasters/12922
Central America: Dengue Outbreak ,,2014,EP-2013-000075-HND,https://api.reliefweb.int/v1/disasters/12935
Nicaragua: Floods ,Jun,2013,FL-2013-000085-NIC,https://api.reliefweb.int/v1/disasters/13021
Bolivia: Drought ,Jun,2013,DR-2013-000077-BOL,https://api.reliefweb.int/v1/disasters/12949
Ecuador: Drought ,Jun,2013,DR-2013-000069-ECU,https://api.reliefweb.int/v1/disasters/12779
India/Nepal: Floods and Landslides ,Jun,2013,FL-2013-000070-IND,https://api.reliefweb.int/v1/disasters/12814
Central Europe: Floods ,Jun,2013,FL-2013-000068-CZE,https://api.reliefweb.int/v1/disasters/12769
Armenia: Hail Storm ,May,2013,ST-2013-000066-ARM,https://api.reliefweb.int/v1/disasters/12731
